index,age,gender,id,languages,name
0,35,VoiceGenderMale,com.apple.speech.synthesis.voice.Alex,['en_US'],Alex
1,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.alice,['it_IT'],Alice
2,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.alva,['sv_SE'],Alva
3,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.amelie,['fr_CA'],Amelie
4,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.anna,['de_DE'],Anna
5,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.audrey.premium,['fr_FR'],Audrey
6,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.aurelie.premium,['fr_FR'],Aurelie
7,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.carmit,['he_IL'],Carmit
8,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.damayanti,['id_ID'],Damayanti
9,35,VoiceGenderMale,com.apple.speech.synthesis.voice.daniel,['en_GB'],Daniel
10,35,VoiceGenderMale,com.apple.speech.synthesis.voice.diego,['es_AR'],Diego
11,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.ellen,['nl_BE'],Ellen
12,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.fiona,['en-scotland'],Fiona
13,30,VoiceGenderMale,com.apple.speech.synthesis.voice.Fred,['en_US'],Fred
14,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.ioana,['ro_RO'],Ioana
15,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.joana,['pt_PT'],Joana
16,35,VoiceGenderMale,com.apple.speech.synthesis.voice.jorge,['es_ES'],Jorge
17,35,VoiceGenderMale,com.apple.speech.synthesis.voice.juan,['es_MX'],Juan
18,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.kanya,['th_TH'],Kanya
19,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.karen,['en_AU'],Karen
20,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.kyoko,['ja_JP'],Kyoko
21,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.laura,['sk_SK'],Laura
22,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.lekha,['hi_IN'],Lekha
23,35,VoiceGenderMale,com.apple.speech.synthesis.voice.luca,['it_IT'],Luca
24,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.luciana,['pt_BR'],Luciana
25,35,VoiceGenderMale,com.apple.speech.synthesis.voice.maged,['ar_SA'],Maged
26,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.mariska,['hu_HU'],Mariska
27,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.mei-jia,['zh_TW'],Mei-Jia
28,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.melina,['el_GR'],Melina
29,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.milena,['ru_RU'],Milena
30,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.moira,['en_IE'],Moira
31,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.monica,['es_ES'],Monica
32,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.nora,['nb_NO'],Nora
33,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.paulina,['es_MX'],Paulina
34,35,VoiceGenderMale,com.apple.speech.synthesis.voice.rishi,['en_IN'],Rishi
35,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.samantha,['en_US'],Samantha
36,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.sara,['da_DK'],Sara
37,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.satu,['fi_FI'],Satu
38,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.sin-ji,['zh_HK'],Sin-ji
39,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.tessa,['en_ZA'],Tessa
40,35,VoiceGenderMale,com.apple.speech.synthesis.voice.thomas.premium,['fr_FR'],Thomas
41,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.ting-ting,['zh_CN'],Ting-Ting
42,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.veena,['en_IN'],Veena
43,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.Victoria,['en_US'],Victoria
44,35,VoiceGenderMale,com.apple.speech.synthesis.voice.xander,['nl_NL'],Xander
45,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.yelda,['tr_TR'],Yelda
46,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.yuna,['ko_KR'],Yuna
47,35,VoiceGenderMale,com.apple.speech.synthesis.voice.yuri,['ru_RU'],Yuri
48,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.zosia,['pl_PL'],Zosia
49,35,VoiceGenderFemale,com.apple.speech.synthesis.voice.zuzana,['cs_CZ'],Zuzana
